date,s_af,r_cfs,i_cfs
2016-09-25,233175,NA,1431
2016-09-26,232806,NA,1304
2016-09-27,232344,NA,1412
2016-09-28,231790,NA,1442
2016-09-29,231144,NA,1439
2016-09-30,230929,NA,1539
2016-10-01,230683,NA,1085
2016-10-02,230960,NA,1348
2016-10-03,230255,NA,1106
2016-10-04,229096,NA,1048
2016-10-05,227876,NA,979
2016-10-06,226996,NA,1051
2016-10-07,226905,NA,1226
2016-10-08,226693,NA,1028
2016-10-09,226390,NA,1045
2016-10-10,225724,NA,1037
2016-10-11,224635,NA,953
2016-10-12,223494,NA,940
2016-10-13,222503,NA,919
2016-10-14,221753,NA,766
2016-10-15,222113,NA,1153
2016-10-16,222023,NA,985
2016-10-17,221305,NA,864
2016-10-18,220472,NA,889
2016-10-19,219727,NA,931
2016-10-20,218983,NA,935
2016-10-21,217829,NA,511
2016-10-22,217180,NA,620
2016-10-23,216442,NA,642
2016-10-24,215352,NA,562
2016-10-25,214034,NA,573
2016-10-26,212397,NA,515
2016-10-27,210770,NA,489
2016-10-28,209610,NA,463
2016-10-29,209092,NA,604
2016-10-30,208890,NA,585
2016-10-31,209265,NA,818
2016-11-01,209812,NA,908
2016-11-02,210451,NA,951
2016-11-03,212600,NA,1708
2016-11-04,214883,NA,1794
2016-11-05,217091,NA,1762
2016-11-06,219549,NA,1897
2016-11-07,222173,NA,1886
2016-11-08,225179,NA,2161
2016-11-09,227998,NA,2124
2016-11-10,230530,NA,1953
2016-11-11,233175,NA,1883
2016-11-12,236055,NA,1883
2016-11-13,238956,NA,1898
2016-11-14,241469,NA,1747
2016-11-15,244601,NA,2072
2016-11-16,247945,NA,2185
2016-11-17,251699,NA,2365
2016-11-18,253865,NA,1416
2016-11-19,257118,NA,1888
2016-11-20,260825,NA,2107
2016-11-21,265028,NA,2359
2016-11-22,268569,NA,2030
2016-11-23,272747,NA,2343
2016-11-24,276146,NA,1959
2016-11-25,279090,NA,1709
2016-11-26,282151,NA,1758
2016-11-27,285543,NA,1910
2016-11-28,289553,NA,2202
2016-11-29,294593,NA,2721
2016-11-30,297254,NA,1521
2016-12-01,300003,NA,1565
2016-12-02,303238,NA,1817
2016-12-03,305949,NA,1572
2016-12-04,308418,NA,1453
2016-12-05,311780,NA,1906
2016-12-06,314462,NA,1558
2016-12-07,316229,NA,1093
2016-12-08,318034,NA,1121
2016-12-09,319291,NA,845
2016-12-10,320885,NA,1013
2016-12-11,322184,NA,866
2016-12-12,323789,NA,1015
